brand,description,price,colour,colour_simp,colour_simp2
ASOS DESIGN,"Vestido veraniego corto con estampado de remolinos abstractos, cintura fruncida y diseño de tiras en la espalda de ASOS DESIGN","15,74 €",abstract swirl,,
ASOS DESIGN,Vestido corto escalonado con estampado floral abstracto y detalle retorcido en la parte delantera de voile de ASOS DESIGN,"29,00 €",tenido anudado,,
ASOS DESIGN,Vestido camisero largo con estampado floral de sarga de ASOS DESIGN,"43,50 €",floral base blanca,,
ASOS DESIGN,Vestido midi rosa ajustado con detalle ondulado y estampado floral difuminado de ASOS DESIGN,"20,24 €",flores difuminadas,,
Little Mistress,Vestido midi escalonado con estampado de lunares de Little Mistress,"16,00 €",lunares,,
Zemeta,Vestido corto amplio con mangas abullonadas y cuello tipo babero con querubines estampados de Zemeta,"64,50 €",escoces,,
Zemeta,Vestido midi de tirantes amplio y escalonado con calentadores a juego de Zemeta,"62,00 €",escoces,,
ASOS DESIGN,Vestido largo color mandarina con cuello cruzado y abertura hasta el muslo de ASOS DESIGN,"22,00 €",mandarina,,
Glamorous Petite,"Vestido de tarde en tonos pastel de manga larga con estampado floral, cuello de pico y lazada en la cintura de Glamorous Petite","24,50 €",flores tono pastel,,
Heartbreak,Vestido corto verde pistacho con aberturas y cuello halter de Heartbreak,"12,50 €",pistacho,,
ASOS Curve,Vestido corto a cuadros verdes y rosas de corte amplio con diseño cruzado de ASOS DESIGN Curve,"20,00 €",cuadros,,
Motel,Vestido corto amarillo con estampado floral grunge y botones de Motel,"25,50 €",florecillas primaverales amarillas,,
ASOS Curve,"Vestido veraniego largo con cuello ancho, abertura y estampado floral retro de lino de ASOS DESIGN Curve","22,00 €",floral retro,,
ASOS DESIGN,Vestido lencero corto con escote cuadrado y estampado de flores y cuadros vichy de ASOS DESIGN,"11,50 €",vichy floral,,
Vero Moda,Vestido rojo de manga larga con diseño de tiras de Vero Moda,"14,00 €",escarlata vivo,,
Replay,Vestido color arena con bajo redondeado de canalé de Replay,"49,50 €",lodo,,
Vila,Vestido corto azul claro de corte recto y manga larga con diseño estampado y cinturón de Vila,"18,00 €",english manor,,
Vila,Vestido corto beis escalonado estilo túnica con cuello de pico de Vila,"21,00 €",cemento,,
Public Desire Curve,Vestido corto rojo estilo polo de Public Desire Curve,"19,00 €",scarlet,,
ASOS Petite,Vestido corto verde salvia de corte skater con escote cuadrado y estampado de lunares de ASOS DESIGN Petite,"10,00 €",lunares,,
In Wear,Vestido camisero lila vaporoso con estampado gráfico de In Wear,"79,50 €",sombreado,,
ASOS Curve,Vestido de tarde midi de manga corta con estampado floral variado y detalle de lazada de ASOS DESIGN Curve,"21,00 €",mezcla floral,,
Levi's,Vestido midi con estampado de cebra ondulado de Levi's,"30,00 €",creme brulee,,
Emory Park,Vestido corto terracota con cintura fruncida de Emory Park,"14,00 €",salmon,,
Vero Moda Petite,Vestido midi lila con detalle de costuras estilo corsé y cuello ancho de Vero Moda Petite,"24,00 €",lavandula,,
Vila,Vestido beis con mangas 3/4 de malla de Vila,"44,99 €",nomad,,
ASOS DESIGN,Vestido corto de corte skater con godets y estampado de cuadros vichy y flores de ASOS DESIGN,"13,00 €",vichy floral,,
The Frolic,Vestido corto multicolor con vuelo y estampado de cuadros vichy y flores de The Frolic,"23,50 €",vichy floral,,
Topshop,Vestido vaquero descolorido de tirantes de estilo años 90 de Topshop,"21,00 €",descolorido,,
Whistles,Vestido corto azul amplio de cambray Tilly de Whistles,"41,50 €",vaqueros,,
Y.A.S,Vestido midi azul con detalle fruncido en el pecho de popelina de algodón exclusivo de Y.A.S,"14,00 €",paraiso isleno,,
Edited,Vestido amplio de manga corta con estampado floral retro y bajo plisado de algodón de EDITED - MULTI,"30,00 €",floral retro,,
Envii,Vestido corto cruzado con mangas globo y estampado retro de girasoles de Envii,"32,19 €",amapolas doradas,,
Pieces Tall,Vestido amplio con estampado de florecitas y cuello de pico exclusivo de Pieces Tall,"16,19 €",floral,,
Forever New,Vestido corto color porcelana con mangas abullonadas de Forever New,"39,00 €",porcelain,,
Topshop,Vestido playero sin mangas con cuello tipo polo de Topshop,"20,79 €",descolorido,,
Topshop,Vestido vaquero descolorido con cuello halter y volantes de Topshop,"27,50 €",descolorido,,
ASOS DESIGN,Vestido de tarde midi de manga corta con detalle anudado y estampado floral Mix & Match de ASOS DESIGN,"24,74 €",mezcla floral,,
Whistles,Vestido de tarde largo verdeo neón de manga larga a cuadros vichy de Whistles,"69,99 €",cuadros vichy neon,,
Topshop Petite,Vestido corto azul cobalto con abertura y parte delantera retorcida de punto de Topshop Petite,"11,54 €",cobalto,,
ONLY,"Vestido largo rojo y violeta con mangas abullonadas, bajo escalonado y estampado floral de Only","16,39 €",flores brillantes,,
Bailey Rose,Vestido color aguacate ajustado de manga larga con abertura de Bailey Rose,"24,99 €",aguacate,,
Vero Moda,Vestido corto amplio y escalonado de tirantes con estampado a cuadros variados de Vero Moda,"16,00 €",cuadros,,
Vero Moda,Vestido corto azul estilo camiseta con aberturas laterales FRSH de Vero Moda,"6,00 €",jacinto,,
French Connection,Vestido midi beis de punto Manhatten de French Connection,"24,50 €",truffle,,
AsYou,Vestido corto color aguamarina asimétrico de tirantes de ASYOU,"10,00 €",aguamarina,,
Only Petite,"Vestido corto con estampado floral luminoso, abertura y detalle retorcido en la parte delantera de Only Petite","10,00 €",flores brillantes,,
ASOS Petite,"Vestido corto con estampado floral intenso, detalle de anilla y acabado texturizado de ASOS DESIGN Petite","16,00 €",flores tono pastel,,
Missguided,Vestido camisero corto color champán con detalle de corsé de satén de Missguided,"30,79 €",champan,,
French Connection,Vestido violeta con parte delantera drapeada Tirsa de French Connection,"54,00 €",decadence,,
Topshop,Vestido camisero corto color ocre cómodo de tejido texturizado de Topshop,"27,00 €",ocre,,
Nobody's Child,Vestido midi rosado de manga corta con estampado de lunares Selina de Nobody's Child,"48,44 €",rubor,,
Fashion Union,Vestido corto escalonado a cuadros dameros de Fashion Union,"26,50 €",tablero,,
Fashion Union,Vestido corto amplio con sisas caídas de tejido texturizado de Fashion Union,"22,50 €",textura blanca,,
Wednesday's Girl,Vestido de tarde corto cruzado con estampado de lunares de Wednesday's Girl,"10,00 €",lunares variados,,
ASOS DESIGN,Vestido playero corto fruncido con tiras en la espalda y diseño de hilos mezclados de punto ligero de ASOS DESIGN,"14,00 €",tenido espacial,,
Motel,"Vestido corto ajustado con estampado óptico retro, botones y aberturas de Motel","11,50 €",cuadrados opticos,,
Levi's,Vestido azul con cuello subido y logo de punto de Levi's,"39,00 €",delft,,
ASOS DESIGN,Vestido corto color guinda con mangas tres cuartos acampanadas y cuello de volantes de ASOS DESIGN,"16,50 €",guinda,,
Whistles,Vestido marrón con estampado animal y vuelo de Whistles,"73,50 €",bronce,,
Miss Selfridge,Vestido camisero color rubor de pana de Miss Selfridge,"35,99 €",rubor,,
ASOS DESIGN,Vestido midi amplio con cuello fruncido y acabado de purpurina plateada de ASOS DESIGN,"21,00 €",brillantina plateada,,
ASOS DESIGN,"Vestido midi verde bosque estilo jersey con cinturón, cuello de pico y acabado muy suave de ASOS DESIGN","20,00 €",bosque,,
